udl,youngs_modulus,I22,cross_area,torsional_inertia,response_x,response_z
4.310294743627309799e-01,8.143679723143577576e-01,8.064127666875720024e-01,5.345668457448482513e-02,2.979392316192388535e-01,8.398779975250363350e-01,6.977758491411805153e-01
8.824654864147305489e-01,1.568448049947619438e-01,3.269230490550398827e-01,9.532475471496582031e-01,5.705842915922403336e-01,2.673133220523595810e-01,4.128335919231176376e-01
7.033175639808177948e-01,7.432012548670172691e-01,7.148300847038626671e-01,3.620086833834648132e-01,7.657378278672695160e-01,1.997448457404971123e-01,8.257834259420633316e-01
2.331875702366232872e-01,2.739105038344860077e-01,1.689329771324992180e-01,6.447110008448362350e-01,1.028302758932113647e-01,6.262036338448524475e-01,3.284529317170381546e-02
1.038648113608360291e-01,5.285667805001139641e-01,4.825091492384672165e-01,6.224225685000419617e-01,1.546812253072857857e-01,9.477889407426118851e-01,9.765761280432343483e-01
5.826465440914034843e-01,4.962877780199050903e-01,8.994991499930620193e-01,4.021041225641965866e-01,9.757881993427872658e-01,3.820619592443108559e-01,1.291333939880132675e-01
7.531365323811769485e-01,9.117452837526798248e-01,1.189730502665042877e-02,8.059822525829076767e-01,6.869494011625647545e-01,8.792204782366752625e-02,6.085070613771677017e-01
3.103522518649697304e-01,6.721042748540639877e-02,6.202940996736288071e-01,2.185595035552978516e-01,4.435975132510066032e-01,5.231717219576239586e-01,2.530684517696499825e-01
3.127994146198034286e-01,6.392111685127019882e-01,9.323373995721340179e-02,4.658707631751894951e-01,5.427373815327882767e-01,7.088556420058012009e-01,9.085535760968923569e-01
8.737363712862133980e-01,3.593716369941830635e-01,5.395203325897455215e-01,5.581674696877598763e-01,3.306374233216047287e-01,1.488501997664570808e-01,2.015525037422776222e-01
5.401756428182125092e-01,8.031513253226876259e-01,4.348164219409227371e-01,1.494218008592724800e-01,1.052930206060409546e-02,3.177464455366134644e-01,5.363930063322186470e-01
2.328896429389715195e-02,2.100793737918138504e-01,9.475104045122861862e-01,8.746318547055125237e-01,8.628919906914234161e-01,7.587174801155924797e-01,3.217627499252557755e-01
1.438379064202308655e-01,9.552171053364872932e-01,6.334612099453806877e-01,8.973854677751660347e-01,8.795829275622963905e-01,5.657943123951554298e-01,6.258451398462057114e-01
6.696204645559191704e-01,5.013346485793590546e-02,2.496743341907858849e-01,1.098072258755564690e-01,2.479273052886128426e-01,1.457969285547733307e-02,4.813445443287491798e-01
9.942915160208940506e-01,6.042651627212762833e-01,8.540730541571974754e-01,7.059442056342959404e-01,4.118425203487277031e-01,4.569035535678267479e-01,7.575775282457470894e-01
4.422504315152764320e-01,3.864373797550797462e-01,2.788793845102190971e-01,3.012635828927159309e-01,7.157432949170470238e-01,9.047123380005359650e-01,1.054477486759424210e-01
